block,trial,trials_colorind,trials_colorrgb0,trials_colorrgb1,trials_colorrgb2,wm_respdeg,wm_respdeg_in_colorspace,wm_respcolorminusorigcolor,wm_resptexind,wm_resptexrgb0,wm_resptexrgb1,wm_resptexrgb2,wm_rts,time_blockstart,time_encarray_offset,time_encarray_onset,time_iti_offset,time_iti_onset,time_memprobe_offset,time_memprobe_onset
1,21,263,0.405698801511,0.284171736334,0.651829885785,-96.7098368078,186.709836808,1.78796180776,266.0,0.373577590308,0.295207490188,0.648113769863,1.28329434199,28.052366619,110.156636574,110.965047677,113.273668611,114.272879178,111.973508216,113.265360599
1,22,469,0.489482198204,0.360453357602,-1.0,128.004807703,321.995192297,-7.77043270274,458.0,0.399688045963,0.388050214986,-1.0,4.24527266389,28.052366619,114.290559754,115.09892182,120.366269261,121.366197986,116.107402886,120.357944143
1,23,14,0.95801504718,0.150023555696,-1.0,68.987919856,21.012080144,11.168330144,30.0,1.0,0.071945658744,-1.0,0.792632979341,28.052366619,121.383123056,122.191501657,124.008393256,125.008321982,123.199967613,124.000059871
1,24,308,-0.0186828559465,0.413097475488,0.481682330771,-120.29392213,210.29392213,-6.26857786994,299.0,0.0516645560415,0.393417669654,0.534378752182,2.15841728961,28.052366619,125.025231941,125.833643614,129.017370961,130.017474166,126.842100447,129.0090658
1,25,355,-0.173737462994,0.472683863687,0.0888799762457,-177.098089531,267.098089531,17.4887145311,380.0,-0.109519508899,0.478533032186,-0.177177385375,1.57329815626,28.052366619,130.03419368,130.842622174,133.442941825,134.442660434,131.851083853,133.434613001
1,26,402,0.000724920831492,0.470139955471,-0.437811562499,-168.031524348,258.031524348,-24.6247256516,367.0,-0.15309091083,0.477560897992,-0.0350816338538,1.13965705084,28.052366619,134.459768536,135.268202446,137.435146132,138.434799739,136.276657283,137.426801343
1,27,499,0.739831889234,0.263827757734,-1.0,154.604088151,295.395911849,-55.4634631508,420.0,0.1146601879,0.45369410126,-0.695047497311,12.7232035897,28.052366619,138.451951175,139.260387367,153.003823721,154.003354452,140.268837927,152.995486344
1,28,47,1.0,-0.0170755915744,-1.0,62.3975128856,27.6024871144,-5.44438788561,39.0,1.0,0.0253789930673,-1.0,1.23437083932,28.052366619,154.020626483,154.82906125,157.087673888,158.087500264,155.837513806,157.0793482
1,29,416,0.087881616042,0.458117504295,-0.630165317015,158.101807194,291.898192806,-0.601807194361,415.0,0.0813077335083,0.459153678902,-0.614968023274,1.67043355806,28.052366619,158.10448948,158.912965585,161.604923397,162.604614067,159.921382504,161.596596284
1,30,482,0.597655625539,0.322480811492,-1.0,-160.574444772,250.574444772,-88.3318052279,356.0,-0.17284377641,0.473239407326,0.0788368070227,1.45706838183,28.052366619,162.621719318,163.430183734,165.913814319,166.913823157,164.438671072,165.905487205
1,31,4,0.879126049628,0.195014037372,-1.0,178.444840495,271.555159505,-91.2573404949,386.0,-0.0833946583454,0.477495592553,-0.245424736514,2.18010290852,28.052366619,166.930695198,167.739056124,170.939462216,171.938982683,168.747519229,170.931131111
1,32,371,-0.14179360683,0.478331938097,-0.0779732583494,-149.981632572,239.981632572,-20.8777424276,341.0,-0.168535884224,0.46196150489,0.223260112086,1.6335824891,28.052366619,171.972966531,172.781378775,175.440059494,176.440141032,173.789854994,175.43171784
1,33,10,0.926811495151,0.168400576072,-1.0,81.7610394244,8.23896057564,1.20771057564,12.0,0.942476689623,0.159273951266,-1.0,1.18169232458,28.052366619,176.45687309,177.265298163,179.47388825,180.473258471,178.273749579,179.465580808
1,34,201,1.0,-0.0135712615467,0.48142235136,-62.3116461088,152.311646109,10.9835211088,217.0,0.891250405156,0.0735373331823,0.568048345461,1.00372650288,28.052366619,180.490748317,181.299160846,183.324394497,184.324392501,182.307620244,183.316069094
1,35,252,0.524721685615,0.240693665738,0.655694012224,-100.747726098,190.747726098,13.5602260984,271.0,0.320642857732,0.312811632898,0.639400143054,2.59311211342,28.052366619,184.341216931,185.14964514,188.76677354,189.76658281,186.158171251,188.758454124
1,36,143,1.0,-0.287057525782,-0.00469998909502,-23.9624889746,113.962488975,13.4156139746,162.0,1.0,-0.218739557155,0.176632971453,1.11067836545,28.052366619,189.783588847,190.592018481,192.725623778,193.725781722,191.600476739,192.717284691
1,37,19,0.99625917486,0.126374530333,-1.0,89.215175397,0.784824602992,-12.574550397,1.0,0.854939129564,0.207877072944,-1.0,1.60771791823,28.052366619,193.742406013,194.550865298,197.184543009,198.183922924,195.559342658,197.176188812
1,38,95,1.0,-0.253175017597,-0.514975443931,-5.21688903183,95.2168890318,28.4200140318,135.0,1.0,-0.303502321856,-0.0849788702499,1.27674594847,28.052366619,198.201372001,199.009783389,201.310068372,202.310042998,200.018246779,201.301725578
1,39,365,-0.157962026257,0.477016591838,-0.0139196855225,-165.709674918,255.709674918,-0.930950081818,364.0,-0.160194321586,0.476704516321,-0.00341124574885,1.07913494715,28.052366619,202.326894512,203.135323577,205.235575374,206.235200757,204.143777273,205.227240278
1,40,498,0.731507943485,0.267561876527,-1.0,113.16641995,336.83358005,-13.3226699502,479.0,0.572572153349,0.331768222426,-1.0,1.12152659195,28.052366619,206.25238612,207.060812903,209.202791499,210.202362998,208.069270306,209.194416774
2,1,313,-0.0530221528698,0.42279583272,0.448797959603,-127.026728767,217.026728767,-3.05139623257,309.0,-0.0258396312562,0.415106541901,0.475305697888,0.796094056685,212.544607704,213.561740038,214.370088135,216.187013945,217.186612529,215.37855181,216.178717337
2,2,431,0.191957257768,0.43918128748,-0.982298765802,158.054872305,291.945127695,-11.1017473046,415.0,0.0813077335083,0.459153678902,-0.614968023274,1.25789932534,212.544607704,217.203797606,218.0122395,220.295839751,221.295761634,219.020690631,220.287519479
2,3,309,-0.0258396312562,0.415106541901,0.475305697888,-134.82370585,224.82370585,7.55808085016,320.0,-0.0946500390753,0.43494401576,0.398701238857,1.37296191277,212.544607704,221.312747144,222.121113201,224.521403943,225.520916427,223.129569178,224.513078826
2,4,436,0.228681708805,0.431413732101,-1.0,171.234871906,278.765128094,-27.7973719058,396.0,-0.0330153705648,0.473684876347,-0.363523780775,1.23529997049,212.544607704,225.538222386,226.346660858,228.605251544,229.605065661,227.355114555,228.596943817
2,5,122,1.0,-0.311159539646,-0.219144224573,-10.6993433743,100.699343374,14.9180933743,143.0,1.0,-0.287057525782,-0.00469998909502,1.11136659002,212.544607704,229.62207911,230.430526705,232.564203276,233.564181894,231.438961871,232.555772388
2,6,399,-0.0164460389312,0.472031251936,-0.400274523968,170.091962897,279.908037103,-0.638837897242,398.0,-0.0220377755791,0.472608796233,-0.387943383198,1.46444355603,212.544607704,233.58091994,234.389340451,236.881323523,237.881348326,235.397841474,236.872989282
2,7,59,1.0,-0.0814409933332,-1.0,66.9384804677,23.0615195323,-18.4228554677,33.0,1.0,0.0565990290419,-1.0,1.29910240043,212.544607704,237.898167625,238.706574736,241.031889241,242.031494667,239.715042118,241.023532192
2,8,491,0.673033477965,0.292707709811,-1.0,82.8444584651,7.15554153489,21.9211665349,10.0,0.926811495151,0.168400576072,-1.0,1.51653306047,212.544607704,242.048782379,242.857104817,245.399115287,246.398650294,243.865575335,245.390767077
